base writing sample,imitation,condition of imitation,message type
In five years I see myself in a successful job and living my life to its fullest with my husband by my side. , , ,text
This year for my birthday I think I want a big party to celebrate this milestone! It's been a wild year!, , ,text
Congratulations on your work! I knew this day would come for you and I am so proud of you for it. , , ,text
"Liste, you have just got this habit that isn't very nice. I'm sorry, but it's starting to get on my nerves. ", , ,text
Thanks so very much for the gift! I didn't know you knew what I was asking for this year. , , ,text
"I understand that you don't normally give raises, but I think it is justified that I get one this year. ", , ,text
My favorite season is Winter. Bundling up next to the fire with hot chocolate in hand is perfect!, , ,text
Thank you so much mom and dad! You both have been the biggest supporters of me this entire time. , , ,text
Congratulations on your accomplishment! I'm so glad you were able to achieve it and make it this far!, , ,text
In five years I see myself traveling the world and making unforgettable memories. Life will be exciting. , , ,text
"My favorite movie is full of surprises. It's not scary, it is just suspenseful! You'll have to see it!", , ,text
"Hey, look I just wanted to ask if you can stop an annoying habit of yours. It's just gotten to be a lot to handle lately. ", , ,text
My favorite movie is so funny. There's a lot of great comedians in it and it is what makes the movie so good. , , ,text
I just think you need to stop with your habit. It is making a lot of people uncomfortable. , , ,text
Thank you both so much for always supporting me and being there for me no matter what. Y'all are the best!, , ,text
The culture of the city was amazing. Everywhere we looked we could see how important the culture was to the locals. , , ,text
Your work has been something that I look forward to all the time. It's always pushing me to be better. , , ,text
"In five years, I see myself living in a home I enjoy and caring for all of those around me. ", , ,text
Hey babe! I think we should go somewhere tropical for our next vacation. The beach sounds amazing!, , ,text
Thank you mom and dad for everything y'all do for me. I know I can count on y'all no matter what. , , ,text
"I'm sorry, something came up and I won't be able to make it tonight. We will meet up another time soon. ", , ,text
Congratulations! I knew you could do it! You should be very proud of yourself! Keep up the good work!, , ,text
"Do you think I can have a raise? I've been working for you for years, and I think it is time I deserve one. ", , ,text
In five years I see myself living my best life. I will be happy no matter what. This is what I'm looking forward to. , , ,text
Your work is amazing. I can always count on you to come up with something so great and perfect!, , ,text
"My favorite season is Spring. Aside from all of the pollen in the air, it is amazing seeing all of the beautiful flowers. ", , ,text
I think you need to stop with your habit. It is just plain annoying when you do it. People keep telling me about it., , ,text
The culture of the city we visited was actually pretty similar to ours. Not many differences between the two. , , ,text
"In five years, I see myself living life to its fullest. I never want there to be a dull moment. ", , ,text
I think I deserve a raise because of all of my hard work. I go above and beyond to put out great work. , , ,text
The culture was great. Lots of differences from our culture at home. It was cool to see it. , , ,text
I'm having such a terrible day. It hasn't gotten any better and is only getting worse and worse. , , ,text
I hope we can go to the Bahamas this year for our vacation. A nice getaway with you would be fun. , , ,text
You've got some annoying habits that I think you can stop. It would be beneficial to everyone around you. , , ,text
Your work never fails to make me happy. It's something I can look forward to all the time. , , ,text
I'm sorry. I have to cancel plans tonight because I suddenly got sick. I've got a really bad headache. , , ,text
participant7,,,text
I think we should get away to Hawaii for a few days and relax and spend time together,"You are getting on my last nerve, Stop drinking the milk right now. It;s mine",cond7_p1_t11 : Hi Sarah. I am tired of you drinking all my milk. I know we are roommates but that milk is my milk,text
Let's go out to the desert this weekend and stay until Tuesday to destress ,Sorry can't come. I'm covering for someone at work who is out sick. Next time,"cond4_p3_t11 : I cant come to your party on Saturday. I have to work overtime. Jane is sick, so I got called in.",text
Your tv show has made me laughs when I was at my lowest and suffering from depression,So sorry I won't make it to the party. My hubby has a medical appointment,cond4_p3_t4 : Im sorry but I wont be able to make it tomorrow. My hubby has a doctors appointment.,text
I was so thrilled to get your gift and I will enjoy using it this summer,I will be healthy and I will be stronger from the work I am putting in now,cond13_p3_t1 : In five years I see myself getting stronger because I will be healthier.,text
"I see myself self employed, doing more travelling and feeling more secure",Same really I guess. Might move to a bigger place though. That's it really,cond13_p2_t7 : Not much different. Probably will have a new place to live though. Need a bigger bedroom.,text
I have now read your book four times and each time I find a layer I didn't see before ,Won't make it in tomorrow so sorry. My husband has an important appointment,cond4_p3_t4 : Im sorry but I wont be able to make it tomorrow. My hubby has a doctors appointment.,text
I was so moved by your performance last night. Thank you for sharing such vulnerability ,I know that you mean well and you're being nice but it is getting too much,cond7_p3_t7 : I know that you cant help getting involved with other peoples problems but it gets annoying.,text
"I see myself spending more time abroad, driving a nicer car and being debt free",I will have quit life and I'll be living out of my van like a hippy but with better hair,"cond13_p2_t10 : Ill be in a van down by the river, Im sure. A bit thinner than the Farley character tho.",text
"I want to be free from money issues and have more time to myself, spend less time working",Sorry I won't see you tomorrow. My husband has made other plans. Let's reschedule,cond4_p3_t4 : Im sorry but I wont be able to make it tomorrow. My hubby has a doctors appointment.,text
I feel that my performance review suggests I warrant a pay increase this quarter,"Sort of the same. No big changes, I will probably have moved for more space",cond13_p2_t7 : Not much different. Probably will have a new place to live though. Need a bigger bedroom.,text
"Thanks so much for looking after my dog and keeping her safe, I owe you guys one! ",I just adored it Darlene. You know me so well it's just so me. Lot of love. ,cond2_p3_t2 : I absolutely loved the present that you gave me Faye. I will use it every day. Best friends forever.,text
I see myself in Europe spending the summer working remotely and having less stress, , ,text
I really need you to start washing your dished instead of leaving them dirty overnight, , ,text
Your books have adding a lot of color and meaning to my life. Can't wait for your next one, , ,text
I'm so thrilled with this gift card and cannot wait to use it during my trip, , ,text
Thanks so much for sending me the deposit. It takes so much pressure off me. Love you, , ,text
I would like to request a raise this year based on my contribution to the ETA project , , ,text
I'm hoping you will consider me for a raise this quarter as I feel I've improved a lot, , ,text
My favorite movie makes me laugh so much I have sore ribs when it is over, , ,text
I hope to see you publish something soon. Your voice is needed right now, , ,text
"Thanks so much for sharing your wonderful performance with is, What a delight", , ,text
"I am way behind schedule, my credit card got blocked and I have a headache", , ,text
I want to be considered for a pay increase in my review. I feel I've really put in work, , ,text
In 5 years I will be on a beach reading a good book and taking a sabbatical , , ,text
Way to go on making the team I am so proud of you for working so hard and making it happen, , ,text
I'm not kidding you really need to stop clearing your throat every 30 seconds it's crazy, , ,text
"I am so stressed. My car broke down, my filling fell out and my check bounced", , ,text
Could you please stop leaving your tennis shoes on the countertop. It's super annoying, , ,text
The train is late due to a breakdown on the line. I will be 15 minutes late., , ,text
That movie changed my life completely. I even moved here after seeing the movie, , ,text
I'm so sorry but I can't make it I have a flat tyre and the nest train is in 3 hours, , ,text
"You need to see it, it's set in Sicily and the scenery is just so beautiful", , ,text
"I want to be debt free, living in a cute cottage and writing more often", , ,text
Sorry my plane was late getting in. I will be there before 10 at the latest, , ,text
I love winter so much. It's so romantic and I love quiet nights by the fire, , ,text
I love summer because sunny days really lighten my mood and make things seem more positive, , ,text
I will scream if you keep crunching your cereal so loudly. It's so annoying, , ,text
"I won't make it. I have to get an emergency dental appointment, my crown chipped", , ,text
I love spring. It seems so hopeful and joyous and I get to leave my heavy coat off, , ,text
"Thanks so much for housesitting. You made this trip so easy for us, Love you guys", , ,text
I can't come tonight my mom flew in to surprise me so I need to rearrange, , ,text
Paris has such cukture and history. Everywhere you look there's a piece or art or a museum, , ,text
"Let's go to Vegas next month. We can get some some, relax and do a little gambling", , ,text
New York is so great. There is so much theatre and so many museums a really rich culture, , ,text
I had a flat tyre this morning. I will be 15-20 minutes late. I'm on the bus, , ,text
It makes me so scared I almost wet my pants everytime but it's so well made, , ,text
I won 6 Oscars and it also won the Cannes film festival. Critics love it, , ,text
I see myself working less and enjoying the little things more. I will be self employed, , ,text
"I will be rich, I will own a home outright and I will be doing what I love", , ,text
Your clicking is driving me crazy can you cut it out before I kick you out, , ,text
participant8,,,text
i just booked a trip to Salzburg where Sound of Music was set! I am SO excited! I've memorized the lines on this movie since I was a kid.,"Hello Ted, I am having a bad day. My dog got run over by a garbage truck. It was horrible.",cond10_p1_t2 : Hi Ted. I am having a miserable day. My dog got run over my a garbage truck. It was horrific.,text
I'm so sorry to cancel but I have something unexpected come up and I need to reschedule with you.,I'm very sorry but I can't make it tomorrow. My husband has a doctor's appointment.,cond4_p3_t4 : Im sorry but I wont be able to make it tomorrow. My hubby has a doctors appointment.,text
I am a big fan of yours because you are such an inspiration. You are very humble and you really love helping people.,Do you need to bite your fingernails like that? There are nail clippers to make that easier.,cond7_p2_t8 : Do you have to keep biting your fingernails like that? There are clippers to make that easy.,text
I'm sorry but I cannot find anyone to watch for my son since the Daddy has to stay late at work.,In five years I see myself getting stronger because I will be healthier.,cond13_p3_t1 : In five years I see myself getting stronger because I will be healthier.,text
I would prefer to go to the city and watch a Broadway show and later on have tea at Tiffany's.,"Hello Sarah, I'm tired of you drinking my milk. I know we're roommates but that is my milk.",cond7_p1_t11 : Hi Sarah. I am tired of you drinking all my milk. I know we are roommates but that milk is my milk,text
I want you to know that you are an inspiration and that you have set the bar on what beauty is.,I know that you just can't help getting involved with other's problems but it's annoying.,cond7_p3_t7 : I know that you cant help getting involved with other peoples problems but it gets annoying.,text
"I love the fall because it's not too hot yet it's not too cold, just enough for a light jacket.","hello Ted, I'm having a miserable day. My dog got run over by a garbage truck. It was horrible.",cond10_p1_t2 : Hi Ted. I am having a miserable day. My dog got run over my a garbage truck. It was horrific.,text
I apologize but I have to cancel because I need to stay at work to finish a project due tomorrow.,"Hi Sarah, I'm really tired of you drinking all my milk. I know that we are roommates but that is my milk.",cond7_p1_t11 : Hi Sarah. I am tired of you drinking all my milk. I know we are roommates but that milk is my milk,text
"I just want to tell you, with all honesty, I really cannot stand the way you take forever to decide on what to order.","In five years, I see myself getting stronger because I will be healthier.",cond13_p3_t1 : In five years I see myself getting stronger because I will be healthier.,text
"Papa and Mama, I want to thank you for all the sacrifices and giving me the best opportunities growing up.",I know that you can't help being involved in other people's problems but it's getting annoying.,cond7_p3_t7 : I know that you cant help getting involved with other peoples problems but it gets annoying.,text
I cannot get over the fact that Rome is so full of history that it's like walking into a history book.,"Hi Ted, I'm having a miserable day. My dog was run over by a garbage truck and it was horrific.",cond10_p1_t2 : Hi Ted. I am having a miserable day. My dog got run over my a garbage truck. It was horrific.,text
I would like to respectfully ask for a raise because I believe that I have brought in a great deal to this company., , ,text
I am very impressed with Barcelona. It's not what I envisioned and I loved all the beautiful Gaudi works of art around., , ,text
I loved walking around the city of Singapore because it is so clean and safe plus all the different food... yum!, , ,text
"I want to go on a trip to Europe, probably do a river cruise this time since I've never tried it before.", , ,text
I have been following you for over a decade and I have to say that you have led such an exciting life., , ,text
"Congratulations!!! You did it and without breaking a sweat, I see! So where are we celebration?", , ,text
"Honey, I've been looking at some of the cruiselines and they are going to a few new ports that I think you'd find interesting.", , ,text
"Well, well, well... you did it! So where and when are we celebrating this? Did you get a bonus?", , ,text
I saw this offer and it includes airfare and hotel with some tours that I really want to go on. , , ,text
I saw this movie since I was a kid and I still love watching it over and over up to today., , ,text
I am so sorry but I cannot go out with you because I have to finish packing for our trip this weekend., , ,text
I want to let you know that you have always been consistent and that you are a beacon of hope to others, , ,text
I am thinking about going home to Sydney since it has been awhile and I really miss vegimite., , ,text
"I want to go on a cruise with all of us, if possible without the kids and hubby so we can reminisce.", , ,text
I believe that I am due for a raise and I know that I have been an integral part of this company's success., , ,text
I see myself in the cover of Times magazine as one of the self-made billionaire from asia., , ,text
I am so happy for this present. Thank you so much! I didn't even know that you knew about this., , ,text
I would like to go somewhere new where we can just relax and try new cuisine while the baby plays., , ,text
I am so surprised with this present and I am very grateful for your thoughtfulness. I really love it!, , ,text
"I had the worst day ever! Everyone wanted attention all at once, like they're the only ones that mattered.", , ,text
I want to thank you for all the things that you've done for me and I am grateful for your sacrifices, , ,text
Great job! I knew you were behind it and only you can do it! So where are we going to celebrate?, , ,text
I am asking for a raise because I believe that I have made a great deal of contribution to this company., , ,text
"I can't still get over Stockholm. It is so peaceful, clean and the people are absolutely lovely.", , ,text
I am very happy that I was able to visit Berlin. It was not what I expected but I am humbled., , ,text
I really need to say something about the way you eat your food. Can you please close your mouth when you chew?, , ,text
I want to speak with you on the subject of my salary. I believe I am due for a raise., , ,text
I really love walking the streets of Paris. It's very surreal and I love the endless museums., , ,text
You did great! I am so proud to call you a friend and I am very happy that you did what you did., , ,text
I am so happy this day ended because all I had was one drama after another from people who have nothing better to do but complain., , ,text
I am very impressed with Bangkok. The people their are so nice and smiling. The food is awesome!, , ,text
I see myself on a world cruise without a care in the world and planning on where to go next., , ,text
I saw this vacation rental that I think is perfect for a quick getaway. It's got everything we need., , ,text
I can't believe you got me something when all I really needed was to have some time with you., , ,text
You are one of the people that I look up to with the way you handle yourself and any situation you're in., , ,text
I cannot believe that you have gone through so many things and you still remain humble and kind., , ,text
I want to go and visit the Karen Long Necks that are in Thailand and be an elephant trainer for the day., , ,text
My day was so terrible I was counting the minutes of when it'll end because I can't stand the people there., , ,text
This day was like a day in hell with all these prima donnas all thinking that they own your time., , ,text
participant9,,,text
"I really want wireless headphones. I don't really know exactly what kind I want, but I think they would be super great for the gym and for the bus because I'm always getting mine caught on something. I think there are some reasonably priced ones now. I think I would prefer the earbud kind as opposed to the large over ear headphones. ",Try to stop getting involved in other people's problems. It's annoying and not helpful. ,cond7_p3_t7 : I know that you cant help getting involved with other peoples problems but it gets annoying.,text
"Dear Ben Tyler Cook, \nYou are one of my favorite broadway actors. I first saw you on tour in Newsies a couple of years ago and you were super talented. You have amazing technique. ","A lot will probably be the same, maybe a different apartment though with more space. ",cond13_p2_t7 : Not much different. Probably will have a new place to live though. Need a bigger bedroom.,text
Hopefully working in research in education and no longer at my current company. I mean that's what I got my MA for. ,I am so ready for Friday. It's been a terrible day at work and I just need this week to be over. ,cond10_p3_t9 : I have had such a horrible day at work. I am ready for Friday. It cant come quick enough.,text
"Let's go on vacation to the Baltic. We could do Finland, St. Petersburg, and Talin in the summer. It would be so beautiful and less crowded than more traditional summer vacation spots. ","I'll be living in a van by the river. Kind of like Farley, but probably thinner. ","cond13_p2_t10 : Ill be in a van down by the river, Im sure. A bit thinner than the Farley character tho.",text
My favorite movie is Love Simon and it was really funny and also super relatable. Most rom coms are so old and it was nice to see something modern. ,Hey Ted. I'm having a horrible day. My dog got hit by a garbage truck. It was awful! I feel terrible. ,cond10_p1_t2 : Hi Ted. I am having a miserable day. My dog got run over my a garbage truck. It was horrific.,text
"Hey Joe, so I'm running the podcast now and I've taken on several more duties since Dana left, could I be compensated for my extra work? ",Much the same. L will be starting high school and I will not be very cool anymore I suppose. ,cond3_p2_t3 : Not much will have changed then. L will be about to start high school -- Ill be very uncool.,text
So I freaking love Top Gun. I don't even know why. But I could quote it all day long. I wish you would quote it with me. ,"I absolutely loved the gift, Faye. I'll use it all the time. You're the best! ",cond2_p3_t2 : I absolutely loved the present that you gave me Faye. I will use it every day. Best friends forever.,text
"I'm so sorry, I had a family emergency and I am headed to the airport to fly to california right now. ",I've had a disaster of a day at work. I'm so ready for it to be Friday. It can't come fast enough. ,cond10_p3_t9 : I have had such a horrible day at work. I am ready for Friday. It cant come quick enough.,text
"I'm really sorry, I have to stay late at work tonight because our department head is having a book release event. ",I suppose I'll be living in a van by the river somewhere. Like that Farley character only thinner. ,"cond13_p2_t10 : Ill be in a van down by the river, Im sure. A bit thinner than the Farley character tho.",text
So Minneapolis is so friendly and so welcoming. It's really nice and easy to make friends. I think the weather helps people bond. ,It's been an awful day at work. Isn't it Friday yet? The end of the week can't come fast enough. ,cond10_p3_t9 : I have had such a horrible day at work. I am ready for Friday. It cant come quick enough.,text
I love How To Train Your Dragon! It's hilarious and Toothless is so cute! He's like a puppy!,"I know that you want to help, but getting involved in people's problems is pretty annoying. ",cond7_p3_t7 : I know that you cant help getting involved with other peoples problems but it gets annoying.,text
Congratulations!!! That's so awesome! I'm so proud of you! How exciting! Tell me all about it. , , ,text
So I've been here for three years now and I've developed a lot of new skills and as such I think a pay raise is reasonable. , , ,text
Suzy! Thank you! That was so sweet! You're the best! This is awesome! I'm so excited! Thanks!, , ,text
"Based on my last annual evaluation, I  received very positive feedback and I've published a good deal of work this year, as such could we discuss a pay increase? ", , ,text
I'm just having one of those days you know. Where every little thing goes wrong. It's just one thing after the next and oh my god Jenna is driving me crazy. , , ,text
Today is the worst! It's been pouring all day. It's gross. And I'm just exhausted. Make it stop. , , ,text
"So I really want to go see a show this year. There are a couple good shows coming to Boston, or we could go see something together at home. ", , ,text
Can I just give up already? I spilled tea all down my shirt and I forgot my gym clothes at home and it's only 9am. , , ,text
Doing research that matters. That's applied. Not at MIT. Hopefully not single. Probably not in Boston. , , ,text
"I'm sorry to cancel plans for Saturday, but I really don't feel well. I'm just going to stay home and try to fight it off. ", , ,text
Ahhhh!!! Congratulations! I'm so happy for you! That's amazing! We should celebrate! What do you want to do?, , ,text
Can we go to Croatia and Greece this year? Croatia has been on my list forever and it would be warm and the hiking is amazing. , , ,text
I just can't stand people at work anymore. They don't show up. They don't do what they commit to. They never step up. Ugh. , , ,text
"New Orleans was so cool. The culture was super laid back and everyone was outside all the time. It was fun, but I don't think I could live there. ", , ,text
I really love Newsies. The dancing is soooo good! I'm obsessed. I know. I'm sorry. But it's your fault. , , ,text
"Hey, so I'm really sorry but I accidentally double booked today. I thought I had plans for sunday, but it turns out it was today. ", , ,text
"Dear Kara Lindsay, \nYour solo Watch What Happens is amazing! You're acting is so on point and so vulnerable and honest. It's beautiful. ", , ,text
"Mom, I love you. Thanks for coming to visit me. It means the world to me and I was so happy to see you. ", , ,text
I really want books this year. Just books. Nonfiction. Fiction. I have a whole list. Mystery. , , ,text
"I know we don't get annual raises or bonuses here, but I am asking for a merit based pay raise for the following reasons. ", , ,text
Please can we go to Florida and see the manatees and just sit on a beach in the sun. Oh god I really want the sun. , , ,text
"How about we go to the UK this summer. See the McNeill castle, visit London, see the cliffs of Moher? ", , ,text
"Dear Emma Watson, \nI first found you via Harry Potter. But I really admire how you have used your fame for good. ", , ,text
Suzy! Ahhhh! Thank you! You're the best! Hahahah! You're so weird! We're so weird! This is great. , , ,text
For my birthday I would really like a new bag. A nice one. The ones I have are either way too big or way too small. , , ,text
Can you stop that? You're on your phone all the time. I hardly ever get to see you and you want me to watch this. So watch it with me. , , ,text
I'm going to be late this morning. The red line is having severe delays. You're probably stuck in it too. , , ,text
"Dear Diana Galbadon, \nI anxiously await the release of your new Outlander novel. Can't wait to see what happens. ", , ,text
"Hey, so I don't think I'm going to make it. Our heat is out and I'm waiting on the plumber. ", , ,text
Is it Friday yet? The coffee machine is broken and we have a tour group today. Drinks after work? , , ,text
The news from home goes from bad to worse and I'm so distracted right now. It's like I can't do anything right. , , ,text
"Sorry to cancel, but this weather is terrible and so let's reschedule. I'm not walking 2 miles in the rain. ", , ,text
Thank you! You're so sweet! You didn't have to do that. You're such a nerd though. Love you! , , ,text
Congratulations! I'm so proud of you! You did it! Way to go! Let's go celebrate! Whooo! , , ,text
I love the reported from the 27 dresses. He's so down to earth and cynical and real. I get it. , , ,text
I'm shaking hands with Dumbledoor. I've won the house cup. And I'm Quiddich Captain too!, , ,text
Awww. You did good this year! I love it. This is going to keep me busy for a while. Thanks!, , ,text
Fall is the best if you live in New England. In California it's summer. Humidity sucks. , , ,text
I loved Hidden Figures. The sass. The actors. The story. The truth. It's amazing. So glad I saw it. , , ,text
